score,keywords
4.333333333333334,research teams
4.333333333333334,programming language
4.333333333333334,mechanical assemblies
4.333333333333334,internal teams
4.333333333333334,implement high
4.333333333333334,field bachelor
4.333333333333334,best supplier
4.25,vr devices
4.25,tune drivers
4.25,time 4
4.25,technicians building
4.25,bus drivers
4.25,building part
4.25,building hardware
4.25,building cross
4.230769230769231,product lifecycle
4.230769230769231,product drive
4.230769230769231,full product
4.2,span platforms
4.2,solve issues
4.2,performance collaborate
4.2,component module
4.2,arm platforms
4.184782608695652,test automation
4.166666666666667,mobile platform
4.136363636363637,testing bs
4.133333333333334,equivalent language
4.066666666666666,processes travel
4.0,various cm
4.0,upstream community
4.0,ups coordination
4.0,unity unreal
4.0,troubleshooting systems
4.0,tolerant instrumentation
4.0,technology familiar
4.0,support internal
4.0,strategic influence
4.0,s degree
4.0,robust fault
4.0,right features
4.0,require bio
4.0,relevant industry
4.0,relevant degree
4.0,project manager
4.0,physical layout
4.0,passion proficiency
4.0,party vendors
4.0,opto electro
4.0,optics electro
4.0,operate efficiently
4.0,oled micro
4.0,obstacles evangelize
4.0,module architecture
4.0,measurement equipment
4.0,lte wi
4.0,launch collaborate
4.0,key challenges
4.0,jdm resources
4.0,issue tracking
4.0,international travels
4.0,internal resources
4.0,indeed countries
4.0,imu sensors
4.0,image processing
4.0,hardware vendors
4.0,hardware perspective
4.0,gpu programming
4.0,fw releases
4.0,form factors
4.0,fixture integrator
4.0,finding solutions
4.0,experiment approach
4.0,even material
4.0,dynamic fast
4.0,drive optimizations
4.0,drive cross
4.0,dispatchers tlb
4.0,detailed understanding
4.0,detail creativity
4.0,designing handheld
4.0,designing fabricating
4.0,depth understanding
4.0,deliver innovation
4.0,delightful attention
4.0,deep understanding
4.0,debug guides
4.0,computer science
4.0,complete current
4.0,business goals
4.0,box user
4.0,block diagrams
4.0,animation artists
4.0,adding value
4.0,acf bonding
4.0,accessories roadmap
3.9347826086956523,test tools
3.916666666666667,travel 5
3.866666666666667,identify issues
3.857142857142857,needed design
3.8333333333333335,various ar
3.8,equivalent degree
3.8,equivalent combination
3.75,ensure automation
3.75,create process
3.75,automation solutions
3.730769230769231,product npi
3.666666666666667,use data
3.666666666666667,services identify
3.666666666666667,mobile cpu
3.666666666666667,data analytics
3.666666666666667,cm jdm
3.666666666666667,assembly prototypes
3.642857142857143,display suppliers
3.5,working independently
3.5,soft goods
3.5,reporting progress
3.5,programming languages
3.5,phd degree
3.5,person including
3.5,ms degree
3.5,java ndk
3.5,includes domestic
3.5,end ownership
3.5,debugging firmware
3.5,collaborate closely
3.5,black box
3.5,architecture validation
3.5,3d reconstruction
3.3,equivalent practical
3.166666666666667,assembly dfm
3.0,validate battery
2.6,software
2.6,knowledge
2.5454545454545454,c
2.5,systems
2.5,partner
2.4545454545454546,development
2.4347826086956523,test
2.4285714285714284,related
2.4285714285714284,engineering
2.4,technologies
2.375,developing
2.357142857142857,design
2.3333333333333335,operating
2.3333333333333335,field
2.3333333333333335,embedded
2.3333333333333335,calibration
2.3333333333333335,3
2.25,vr
2.25,building
2.25,android
2.25,5
2.25,4
2.230769230769231,product
2.2,quality
2.2,platforms
2.2,performance
2.2,component
2.142857142857143,display
2.0,vendors
2.0,understanding
2.0,tuning
2.0,team
2.0,sw
2.0,support
2.0,span
2.0,solve
2.0,skills
2.0,services
2.0,programming
2.0,proficiency
2.0,part
2.0,objective
2.0,multi
2.0,micro
2.0,maximize
2.0,large
2.0,kernel
2.0,jdm
2.0,integrating
2.0,infrastructure
2.0,high
2.0,hardware
2.0,execution
2.0,equipment
2.0,ensure
2.0,drive
2.0,develop
2.0,designing
2.0,demonstrated
2.0,deliver
2.0,debug
2.0,d
2.0,cross
2.0,concepts
2.0,components
2.0,collaborate
2.0,box
2.0,areas
2.0,apps
1.8,equivalent
1.75,automation
1.6666666666666667,travel
1.6666666666666667,mobile
1.6666666666666667,identify
1.6666666666666667,data
1.6666666666666667,cm
1.6666666666666667,assembly
1.5,working
1.5,validation
1.5,validate
1.5,troubleshooting
1.5,tracking
1.5,tools
1.5,suppliers
1.5,soft
1.5,reporting
1.5,practical
1.5,phd
1.5,npi
1.5,needed
1.5,ms
1.5,languages
1.5,java
1.5,including
1.5,firmware
1.5,end
1.5,domestic
1.5,dfm
1.5,create
1.5,closely
1.5,bs
1.5,black
1.5,battery
1.5,ar
1.5,3d
1.0,year
1.0,well
1.0,wearables
1.0,variety
1.0,third
1.0,t
1.0,staff
1.0,specifications
1.0,shaders
1.0,sell
1.0,results
1.0,resolve
1.0,resolution
1.0,relationship
1.0,r
1.0,prototyping
1.0,proof
1.0,program
1.0,procedures
1.0,prioritize
1.0,post
1.0,plastic
1.0,php
1.0,pcb
1.0,oriented
1.0,optimize
1.0,one
1.0,odm
1.0,object
1.0,nx
1.0,next
1.0,necessary
1.0,mocvd
1.0,methodology
1.0,mechatronics
1.0,mechanicals
1.0,mbe
1.0,mathematics
1.0,manufacturability
1.0,management
1.0,low
1.0,lighting
1.0,libraries
1.0,leverage
1.0,levels
1.0,layers
1.0,latency
1.0,lab
1.0,jtag
1.0,interfacing
1.0,interconnect
1.0,integration
1.0,imus
1.0,importance
1.0,implementation
1.0,history
1.0,helping
1.0,hands
1.0,gd
1.0,functionally
1.0,foreign
1.0,following
1.0,focus
1.0,fixes
1.0,fine
1.0,facebook
1.0,expand
1.0,etl
1.0,environments
1.0,engineers
1.0,effective
1.0,education
1.0,doe
1.0,directly
1.0,direct
1.0,differentiation
1.0,differentiating
1.0,dfa
1.0,culture
1.0,created
1.0,coverage
1.0,contribute
1.0,concept
1.0,communicating
1.0,collaboration
1.0,circuits
1.0,china
1.0,certifications
1.0,capabilities
1.0,built
1.0,build
1.0,backgrounds
1.0,available
1.0,assist
1.0,aosp
1.0,advocating
1.0,achieve
1.0,7
1.0,40
1.0,30
1.0,2
1.0,1
